inventory_id,product_id,store_id,available_quantity,reorder_level,last_updated
INV000001,P0202,S0024,42,53,2025-11-01
INV000002,P0161,S0301,370,58,2026-04-06
INV000003,P0320,S0136,174,23,2025-08-05
INV000004,P0095,S0041,382,77,2025-09-23
INV000005,P0055,S0223,273,2,2025-01-06
INV000006,P0203,S0060,6,21,2026-05-04
INV000007,P0236,S0208,444,84,2026-05-14
INV000008,P0156,S0185,353,86,2026-02-09
INV000009,P0155,S0045,64,17,2025-01-15
INV000010,P0098,S0058,417,2,2025-07-12
INV000011,P0014,S0108,246,83,2025-05-29
INV000012,P0333,S0124,223,80,2026-07-06
INV000013,P0098,S0045,154,98,2026-04-20
INV000014,P0076,S0243,216,2,2025-04-30
INV000015,P0086,S0079,378,89,2026-04-01
INV000016,P0249,S0242,10,57,2026-08-23
INV000017,P0125,S0104,150,72,2026-02-06
INV000018,P0027,S0171,4,13,2026-03-19
INV000019,P0213,S0254,377,74,2026-07-22
INV000020,P0149,S0019,249,51,2026-05-13
INV000021,P0263,S0303,371,78,2026-05-15
INV000022,P0119,S0032,270,2,2026-03-09
INV000023,P0296,S0162,283,8,2025-10-02
INV000024,P0332,S0214,455,60,2025-04-30
INV000025,P0254,S0178,229,89,2026-03-23
INV000026,P0011,S0083,147,92,2025-07-16
INV000027,P0241,S0177,224,29,2026-06-04
INV000028,P0113,S0301,465,87,2025-12-14
INV000029,P0309,S0240,67,37,2026-02-04
INV000030,P0214,S0185,407,60,2025-06-15
INV000031,P0319,S0107,144,88,2025-03-30
INV000032,P0248,S0067,88,25,2025-06-10
INV000033,P0311,S0252,51,53,2026-05-21
INV000034,P0156,S0121,107,71,2025-02-18
INV000035,P0010,S0184,451,33,2026-01-01
INV000036,P0082,S0090,423,64,2025-02-02
INV000037,P0033,S0173,220,14,2025-08-21
INV000038,P0062,S0288,114,62,2025-09-22
INV000039,P0175,S0182,393,5,2026-07-25
INV000040,P0137,S0078,436,88,2026-06-12
INV000041,P0310,S0054,361,6,2026-03-25
INV000042,P0235,S0057,499,13,2025-04-15
INV000043,P0288,S0022,259,13,2025-06-21
INV000044,P0323,S0061,445,26,2026-01-06
INV000045,P0081,S0150,362,56,2026-06-03
INV000046,P0256,S0051,78,82,2026-01-08
