store_id,store_name,city,state,store_manager,opening_date,status
S0001,Reliance Store 1,Jaipur,Rajasthan,Kavya Sharma,2022-05-22,Active
S0002,Smart Store 2,Noida,Uttar Pradesh,Sneha Gupta,2022-10-05,Active
S0003,FreshMart Store 3,Jaipur,Rajasthan,Riya Mehta,2024-02-09,Active
S0004,DailyNeeds Store 4,Chennai,Tamil Nadu,Rahul Kumar,2022-08-31,Active
S0005,FreshMart Store 5,Bengaluru,Karnataka,Nisha Gupta,2023-04-02,Active
S0006,Reliance Store 6,Ahmedabad,Gujarat,Ishita Agarwal,2025-10-11,Active
S0007,DailyNeeds Store 7,Mumbai,Maharashtra,Neha Bansal,2023-05-22,Active
S0008,More Store 8,Jaipur,Rajasthan,Diya Bansal,2022-08-20,Active
S0009,FreshMart Store 9,Ahmedabad,Gujarat,Simran Sharma,2023-05-08,Active
S0010,Reliance Store 10,Ghaziabad,Uttar Pradesh,Simran Sharma,2024-07-03,Inactive
S0011,Reliance Store 11,Chennai,Tamil Nadu,Ananya Sharma,2024-04-03,Active
S0012,DailyNeeds Store 12,Gurugram,Haryana,Karan Sharma,2022-10-14,Active
S0013,More Store 13,Lucknow,Uttar Pradesh,Nidhi Malhotra,2023-10-16,Inactive
S0014,Smart Store 14,Hyderabad,Telangana,Ananya Singh,2022-10-21,Active
S0015,FreshMart Store 15,Gurugram,Haryana,Ishita Singh,2022-05-05,Active
S0016,More Store 16,Hyderabad,Telangana,Anjali Mehta,2025-02-12,Active
S0017,Smart Store 17,Noida,Uttar Pradesh,Anjali Mehta,2024-12-10,Active
S0018,FreshMart Store 18,Kolkata,West Bengal,Sneha Gupta,2023-09-07,Active
S0019,DailyNeeds Store 19,Delhi,Delhi,Aditi Bansal,2023-04-07,Active
S0020,More Store 20,Chandigarh,Chandigarh,Riya Sharma,2025-02-25,Active
S0021,DailyNeeds Store 21,Mumbai,Maharashtra,Nisha Gupta,2024-03-06,Active
S0022,More Store 22,Lucknow,Uttar Pradesh,Meera Verma,2024-07-10,Active
S0023,DailyNeeds Store 23,Ghaziabad,Uttar Pradesh,Nidhi Bansal,2022-04-16,Active
S0024,DailyNeeds Store 24,Mumbai,Maharashtra,Simran Sharma,2022-05-30,Active
S0025,DailyNeeds Store 25,Ahmedabad,Gujarat,Nidhi Jain,2023-03-21,Active
S0026,Smart Store 26,Gurugram,Haryana,Ishita Sharma,2023-03-10,Active
S0027,Reliance Store 27,Kolkata,West Bengal,Nidhi Agarwal,2023-05-12,Inactive
S0028,More Store 28,Kolkata,West Bengal,Neha Bansal,2025-02-04,Active
