product_id,product_name,category,brand,unit_price,supplier_id,status
P0001,Cadbury Milk,Grocery,Nestle,342.58,SUP024,Active
P0002,Dabur Chocolate,Fruits & Vegetables,ITC,57.36,SUP003,Active
P0003,Nestle Butter,Fruits & Vegetables,Amul,846.26,SUP023,Active
P0004,ITC Biscuits,Bakery,P&G,424.5,SUP028,Active
P0005,Pepsi Shampoo,Personal Care,Britannia,241.66,SUP025,Active
P0006,Cadbury Chocolate,Home Care,Cadbury,544.88,SUP012,Inactive
P0007,Britannia Milk,Bakery,Dabur,195.99,SUP030,Active
P0008,Cadbury Butter,Grocery,P&G,1329.32,SUP012,Inactive
P0009,Nestle Chocolate,Dairy,Nestle,1161.87,SUP003,Active
P0010,Cadbury Shampoo,Grocery,Parle,957.17,SUP012,Active
P0011,HUL Soap,Snacks,Britannia,1055.71,SUP022,Active
P0012,P&G Juice,Frozen Food,Nestle,253.47,SUP013,Active
P0013,Dabur Biscuits,Personal Care,Amul,351.28,SUP002,Active
P0014,ITC Rice,Chocolate,Nestle,1370.57,SUP019,Active
P0015,Nestle Bread,Home Care,Parle,222.88,SUP005,Active
P0016,Dabur Butter,Grocery,P&G,648.37,SUP019,Active
P0017,HUL Biscuits,Beverages,Dabur,745.34,SUP025,Active
P0018,Cadbury Juice,Beverages,ITC,898.65,SUP013,Active
P0019,P&G Bread,Frozen Food,Britannia,1456.91,SUP028,Active
P0020,Cadbury Butter,Grocery,HUL,176.21,SUP014,Active
P0021,Parle Milk,Grocery,Dabur,1145.32,SUP017,Active
P0022,Britannia Butter,Fruits & Vegetables,Nestle,237.73,SUP025,Active
P0023,Dabur Butter,Dairy,P&G,492.99,SUP001,Active
P0024,HUL Rice,Snacks,Amul,368.9,SUP019,Active
P0025,Cadbury Bread,Chocolate,Dabur,1151.09,SUP005,Active
P0026,Dabur Juice,Grocery,Dabur,1309.93,SUP014,Active
P0027,Dabur Biscuits,Grocery,ITC,1492.77,SUP021,Active
P0028,Parle Butter,Bakery,Cadbury,379.38,SUP003,Active
P0029,Amul Cookies,Frozen Food,Nestle,886.78,SUP001,Active
P0030,Amul Biscuits,Chocolate,Amul,1290.86,SUP003,Active
P0031,Nestle Rice,Bakery,Nestle,813.46,SUP024,Inactive
P0032,P&G Bread,Snacks,Parle,1213.17,SUP007,Active
P0033,Cadbury Shampoo,Personal Care,ITC,622.54,SUP028,Active
P0034,Cadbury Milk,Home Care,HUL,1202.88,SUP004,Active
P0035,Nestle Biscuits,Frozen Food,Parle,218.87,SUP006,Active
P0036,Parle Biscuits,Chocolate,Parle,1213.95,SUP028,Active
P0037,Cadbury Milk,Frozen Food,Amul,1453.8,SUP030,Active
P0038,Pepsi Shampoo,Bakery,Parle,328.48,SUP013,Active
P0039,Pepsi Shampoo,Dairy,ITC,405.15,SUP026,Active
P0040,Britannia Shampoo,Frozen Food,Parle,240.65,SUP010,Active
P0041,Amul Cookies,Frozen Food,Amul,1124.48,SUP002,Active
P0042,P&G Bread,Frozen Food,Dabur,244.57,SUP017,Active
P0043,Pepsi Chocolate,Fruits & Vegetables,Cadbury,1016.07,SUP008,Active
P0044,Cadbury Cookies,Snacks,P&G,895.83,SUP020,Active
P0045,ITC Cookies,Fruits & Vegetables,Dabur,481.39,SUP009,Active
P0046,HUL Biscuits,Grocery,ITC,205.01,SUP021,Active
P0047,Parle Soap,Chocolate,Amul,692.85,SUP019,Active
P0048,Cadbury Butter,Snacks,Dabur,405.15,SUP030,Active
P0049,Cadbury Biscuits,Personal Care,Britannia,245.04,SUP027,Active
P0050,Britannia Cookies,Frozen Food,Amul,1005.12,SUP018,Active
P0051,Cadbury Juice,Grocery,Cadbury,1335.67,SUP024,Active
P0052,Pepsi Rice,Grocery,P&G,323.84,SUP011,Active
P0053,Britannia Butter,Bakery,Britannia,1358.95,SUP028,Active
P0054,Cadbury Shampoo,Grocery,Amul,15.28,SUP025,Active
P0055,Britannia Juice,Bakery,Dabur,1061.44,SUP018,Active
P0056,Cadbury Chocolate,Beverages,Dabur,63.68,SUP012,Inactive
P0057,Dabur Juice,Home Care,Pepsi,72.32,SUP012,Active
P0058,HUL Biscuits,Snacks,Cadbury,536.98,SUP018,Active
P0059,P&G Juice,Snacks,Pepsi,1464.55,SUP026,Active
P0060,ITC Milk,Beverages,HUL,1175.76,SUP014,Active
P0061,Britannia Juice,Chocolate,ITC,1309.53,SUP028,Active
P0062,Nestle Biscuits,Bakery,HUL,464.73,SUP026,Active
P0063,Nestle Milk,Snacks,ITC,499.11,SUP028,Active
P0064,Britannia Soap,Frozen Food,ITC,1022.48,SUP027,Active
P0065,HUL Milk,Chocolate,Britannia,276.07,SUP009,Active
P0066,Cadbury Cookies,Home Care,HUL,1095.53,SUP011,Active
P0067,P&G Butter,Chocolate,ITC,1350.26,SUP007,Active
P0068,Amul Shampoo,Dairy,Dabur,1389.11,SUP018,Active
P0069,HUL Shampoo,Chocolate,HUL,938.5,SUP022,Active
P0070,Britannia Butter,Grocery,ITC,496.01,SUP023,Active
P0071,Dabur Juice,Snacks,ITC,1000.74,SUP013,Active
P0072,P&G Cookies,Grocery,ITC,826.43,SUP001,Active
P0073,Britannia Biscuits,Home Care,P&G,913.93,SUP011,Active
P0074,Parle Bread,Snacks,Dabur,715.05,SUP029,Active
P0075,Cadbury Rice,Frozen Food,P&G,509.43,SUP027,Active
P0076,Britannia Biscuits,Snacks,Pepsi,46.39,SUP008,Active
P0077,P&G Chocolate,Bakery,ITC,1330.34,SUP019,Active
P0078,ITC Bread,Home Care,Nestle,229.88,SUP023,Active
P0079,Cadbury Shampoo,Snacks,Pepsi,1208.12,SUP023,Active
P0080,Parle Milk,Frozen Food,Nestle,1377.03,SUP004,Active
P0081,Pepsi Bread,Frozen Food,Dabur,897.22,SUP025,Active
P0082,P&G Butter,Home Care,Dabur,674.41,SUP006,Active
P0083,Parle Rice,Snacks,Britannia,1151.06,SUP017,Active
P0084,Nestle Rice,Bakery,Cadbury,1073.18,SUP008,Active
P0085,HUL Soap,Frozen Food,Cadbury,216.18,SUP008,Active
P0086,Pepsi Biscuits,Chocolate,ITC,617.32,SUP018,Active
P0087,ITC Milk,Snacks,ITC,590.32,SUP025,Inactive
